"code";"SV";"DE";"pos"
"7117";"DRIVAXELTAPP BAK YTTRE";"Drivaxeltapp";"Hinten Äußere"
"7118";"STÖTDÄMPARE BAK";"Stossdämpfer";"Hinten"
"7119";"BAKAXELBALK";"Hinterachse Balken";""
"7120";"BÄRARM BAK VÄ-HÖ";"Bärarm";"Links Recht"
"7121";"BÄRARM BAK VÄ";"Bärarm";"Links"
"7122";"BÄRARM BAK HÖ";"Bärarm";"Recht"
"7123";"DRIVAXEL DAMASK";"Drivaxeldamask";""
"7124";"BAKRAM/FÄSTBALK/TVÄRBALK";"Heckrahmen/Befestigungsbalken";""
"7125";"KRÄNG.TVÄRSTAG BAK";"Krängningshämmare Tvärstag";"Hinten"
"7126";"KRÄNGNINGSHÄMMARE BAK";"Krängningshämmare";"Hinten"
"7127";"BÄRARM BAK ÖVRE VÄ";"Bärarm";"hinten Oben Links"
"7128";"BÄRARM BAK ÖVRE HÖ";"Bärarm";"hinten Oben Recht"
"7129";"STYRVÄXEL DAMASK";"Styrväxeldamask";""
"7130";"STYRVÄXEL BAK";"Styrväxel Bak";"Hinten"
"7131";"HJULLAGERHUS-SPINDEL VÄ BAK";"Radlager gehäuse Spinne";"Hinten Links"
"7132";"HJULLAGERHUS-SPINDEL HÖ BAK";"Radlager gehäuse Spinne";"Hinten Recht"
"7133";"BLADFJÄDERHÄNKE FRAM";"Bladfjäderhänke fram";""
"7134";"BLADFJÄDERHÄNKE BAK";"Bladfjäderhänke bak";""
"7135";"KRÄNGNINGSHÄMMARSTAG FRAM";"Krängningshämmarstag";"Vorn"
"7136";"KRÄNGNINGSHÄMMARSTAG BAK";"Krängningshämmarstag";"Hinten"
"7140";"BAKAXEL";"Hinterachse";""
"7141";"BAKAXELKÅPA";"Bakaxelkåpa";""
"7143";"MOTOR ELEKTRISK BAK";"Motor Elektrisk Bak";""
"7144";"STYRENHET ELEKTRISK BAKVÄXEL";"Bakväxel Elektrisk Styrenhet";""
"7145";"BAKVÄXEL/DIFF.";"Getriebe/Differential";""
"7146";"BROMSSKÖLD BAK";"Bremsschutz";"Hinten"
"7149";"REPARATIONS KIT DÄCK";"Reparations kit däck";""
"7150";"HJUL";"Reifen (Reifen und Felge) 1st";""
"7151";"HJUL RESERVHJUL MINITYP";"Rad Reserverad Minitype";""
"7152";"SOMMARDÄCK MED FÄLG";"Felge mit Sommerreifen 1st";""
"7153";"VINTERDÄCK MED FÄLG";"Felge mit Winterreifen 1st";""
"7154";"KOMPRESSOR DÄCK";"Kompressor Däck";""
"7155";"DÄCK";"Reifen Übriges";""
"7156";"KILOMETERSKATTERÄKNARE";"Kilometersteuerzähler";""
"7160";"SOMMARDÄCK ALUM.FÄLG 4ST";"Aluminiumfelge mit Sommerreifen 4st";""
"7161";"SOMMARDÄCK PLÅT.FÄLG 4ST";"Blechfelge mit Sommerreifen 4st.";""
"7162";"VINTERDÄCK ALUM.FÄLG 4ST";"Aluminiumfelge mit Winterreifen 4st";""
"7163";"VINTERDÄCK PLÅT.FÄLG 4ST";"Blechfelge mit Winterreifen 4st.";""
"7164";"SPACER / SPACER HJUL";"Spacer / Spacer Hjul";""
"7199";"BAKVAGN ÖVRIGT";"Übriges Heck";""
"7200";"MOTORKÅPA";"Motorkåpa";""
"7201";"MOTOR BENSIN";"Motor Benzin";""
"7202";"TOPPLOCK DIESEL";"Topplock Diesel";""
"7203";"EGR FOT";"EGR Fuss";""
"7204";"VIPPARMSBRYGGA/VIPPARM";"Hebelbrücke/Hebelarm";""
"7205";"MOTORBLOCK";"Motorblock";""
"7206";"TOPPLOCK BENSIN";"Topplock Bensin";""
"7207";"VEVAXEL";"Kurbelwelle";""
"7208";"KOLV/STAKE";"Kolben";""
"7209";"FÖRGASARANSLUTNING/FOT";"Vergaser anschluss/Fuss";""
"7210";"VATTENPUMP";"Wasserpumpe";""
"7211";"VATTENPUMPSHUS/LOCK";"Wasserpumpengehäuse/Deckel";""
"7212";"EGR STYRVENTIL";"EGR Steuerungsventil";""
"7213";"TERMOSTATHUS/LOCK";"Termostathaus/Deckel";""
"7214";"EGR VAKUUMFÖRSTÄRKARE";"EGR Vacuumverstärker";""
"7215";"EGR VENTIL";"EGR Ventil";""
"7216";"EGR RÖR";"EGR Rohr";""
"7217";"PULSAIRRÖR";"Pulsairror";""
"7218";"PULSAIR BACKVENTIL";"Pulsair Rückventil";""
"7219";"FÖRG.INSPRUTNINGSENHET";"Vergaser Einspritzeinheit";""
"7220";"FÖRGASARE";"Vergaser";""
"7221";"REMSPÄNNARE";"Riemenspanner";""
"7222";"REMSKIVA";"Riemenscheibe";""
"7223";"KAMAXEL";"Kamachse";""
"7224";"KAMAXELHUS";"Kamachse Gehäuse";""
"7225";"FÖRDELARE";"Verteiler";""
"7226";"OLJEFILTERHÅLLARE";"Ölfilterhalterung";""
"7227";"OLJEKYLARE MOTOR";"Oljekyl (diverse)";""
"7228";"OLJEPUMP MOTOR";"Ölpumpe";""
"7229";"OLJETRÅG";"Ölwanne";""
"7230";"SVÄNGHJUL MAN";"Svänghjul Manuell";""
"7231";"SVÄNGHJUL AUT";"Svänghjul Automat";""
"7232";"KAMREM/TRANSMISSIONSKÅPA";"Kamriemen/Transmissionsdeckel";""
"7233";"VENTILKÅPA";"Ventilkappe";""
"7234";"BRÄNSLEFILTER/HÅLLARE";"Treibstoff-Filter/Befestigung";""
"7235";"BRÄNSLEPUMP MEKANISK";"Benzinpumpe Mechanisch";""
"7236";"BRÄNSLEPUMP ELEKTRISK";"Benzinpumpe Elektrisch";""
"7237";"STYRTRYCKSVENTIL/VÄRME";"Steuerdruck Ventil/Wärme";""
"7238";"BRÄNSLE FÖRVÄRMN.VENTIL";"Vorwärmventil";""
"7239";"INJ.SPJÄLLHUSKONTAKT";"Drosselklappe kontakt";""
"7240";"GRENRÖR KOMBINERAT INSUG/AVGAS";"Abzweigror Komb. Abgas/Einlass";""
"7241";"GRENRÖR INSUG.";"Abzweigror Einlass";""
"7242";"GRENRÖR AVGAS";"Abzweigror Abgas";""
"7243";"FÖRDELARLOCK";"Verteilerdeckel";""
"7244";"VIBRATIONSDÄMPARE";"Vibrationsdämpfer";""
"7245";"LUFTRENARE";"Luftfilter";""
"7246";"LUFTSPJÄLLHUS/TROTTELHUS";"Drossel/Klappe";""
"7247";"INJ.LUFTMASSAMÄTARE";"Luftmasse - Messer";""
"7248";"INJ.TILLSATSLUFTSLID";"Tillsatsluftslid";""
"7249";"INJ.TOMGÅNGSSTABILISATOR";"Lehrlaufstabilisator";""
"7250";"BRÄNSLE INSP.PUMP BENSIN";"Einspritzpumpe Benzin";""
"7251";"INJ.SPRIDARE";"Verteiler";""
"7252";"BRÄNSLE INSP.PUMP DIESEL";"Einspritzpumpe Diesel";""
"7253";"INJ.BRÄNSLEFÖRDELARE";"Treibstoffverteiler";""
"7254";"KOMPRESSOR REMDRIVEN";"Kompressor Riemenangetrieben";""
"7255";"TURBOAGGREGAT";"Turboagregat";""
"7256";"WASTEGATEVENTIL";"Wastegateventil";""
"7257";"TURBOOLJERÖR";"Turbooljerör";""
"7258";"HJÄLPAXEL/MELLANAXEL";"Hilfsachse/Zwischenachse";""
"7259";"LADDLUFT/INTERCOOLERRÖR/SLANG";"Laddluft/Intercooler Rör";""
"7260";"LADDLUFT/INTERCOOLER KYL.";"Laddluft/Intercooler Kyl";""
"7261";"TURBOVATTENRÖR";"Turbovattenrör";""
"7262";"MOTORFÄSTE";"Motorbefästigung";""
"7263";"MOTORKUDDE";"Motorkissen";""
"7264";"INJ.MAPPSENSOR";"Mappsensor";""
"7265";"INJ.LUFTMÄNGDMÄTARE";"Luftmänge - Messer";""
"7266";"VEVHUSVENTILATION SLANG/RÖR";"Vevhusventilation Slang/Rör";""
"7267";"INJ.SPRIDARRÖR";"Verteiler - Rohr";""
"7268";"INJ.KNACKSENSOR";"Knacksensor";""
"7269";"VAKUUMVENTIL";"Vacuumventil";""
"7270";"VAKUUMPUMP";"Vacuumpumpe";""
"7271";"LUFTPUMP/AVGASRENING";"Luftpumpe/Abgasreinigung";""
"7272";"INJ INSUGSRÖR/SLANG";"Gummibalg/Schlauch";""
"7273";"INJ. BRÄN.TRYCKSREGULATOR";"Treibstoffdruck Regulator";""
"7274";"VEVAXEL PACKBOXHÅLLARE";"Vevaxel Packboxhållare";""
"7275";"INJ.SPJÄLLHUS";"Spjällhus";""
"7276";"GIVARE VARVTAL/TÄNDLÄGE";"Sensor Drehzahl/Zündlage";""
"7277";"BALANSAXEL";"Balansaxel";""
"7278";"TÄNDNING FÖRKOPPLINGSMOTSTÅND";"Tändning Förkopplingsmotstånd";""
"7279";"TÄNDKABELSATS";"Zündkabelsats";""
"7280";"MOTOR DIESEL";"Motor Diesel";""
"7281";"GLÖDSTIFT";"Glühstift";""
"7282";"KICK MC";"Kick";""
"7283";"REGULATOR MC";"Regulator";""
"7284";"STATOR LINDNING MC";"Strator Lindning";""
"7285";"MOTORKÅPA VÄ MC";"Motorkåpa Vä";""
"7286";"MOTORKÅPA HÖ MC";"Motorkåpa Hö";""
"7287";"SVÄNGHJUL/STATOR MC";"Svänghjul/Stator MC";""
"7288";"BALANSAXELHUS";"Balansaxelhus";""
"7289";"FÖRG./BÄLG/RÖR MOT LUFTR.";"Vergaser/Balg/Rohr zur Lufttrommel";""
"7290";"AC KOMPRESSOR";"AC Kompressor";""
"7291";"TERMOSTAT";"Termostat";""
"7292";"MAGNETVENTIL LADDTRYCK";"Magnetventil Laddtryck";""
"7293";"MOTOR OLJERÖR/SLANG";"Oljerör/Slang Motor";""
"7294";"VÄXELLÅDA OLJERÖR/SLANG MAN";"Växellåda Oljerör/Slang Manuell";""
"7295";"HYBRIDCONVERTER";"Hybridconverter";""
"7296";"GASSPJÄLLSDÄMPARE";"Gasspjällsdämpare";""
"7297";"INJ. SPRIDARRÖR SATS";"Spridarrör sats";""
"7298";"INJ. ÖVRIGT";"Einspritzung Übriges";""
"7299";"MOTOR ÖVRIGT";"Übriges Motor";""
"7300";"LUFTRENARE ÖVRIGT";"Luftrenare Övrigt";""
"7301";"FÖRDELARE VAKUUMREGULATOR";"Verteiler Vakuumregulator";""
"7302";"MOTOR ELEKTRISK FRAM";"Motor Elektrisk Fram";""
"7303";"KABELHÄRVA HÖGSPÄNNING";"Högspänningskabel";""
"7304";"INJ. VIRVELSPJÄLL";"Virvelspjäll";""
"7305";"NJ.VIRVELSPJÄLL STÄLLMOTOR";"Virvelspjäll Ställmotor";""
"7306";"VAKUUMTANK";"Vakuumtank";""
"7307";"RESONATORRÖR";"Resonatorrör";""
"7308";"INJ. FUELRAIL";"Fuelrail";""
"7309";"REGLERMOTOR WASTEGATE";"Wastegate Reglermotor";""
"7310";"STYRENHET STRÅLKASTARE";"Styrenhet Xenon";""
"7311";"LADDKABEL ELBIL";"Laddkabel Elbil";""
"7340";"OLJEPUMP KAMAXELKEDJA";"Oljepump kamaxelkedja";""
"7387";"LÅS ÖVRIGT";"Lås Övrigt";""
"7388";"CENTRALÅSMOTOR MOTORHUV";"Centrallåsmotor Motorhuv";""
"7389";"USB CONNECTION";"USB Connection";""
"7390";"STYRENHET/RELÄ STOLSVÄRME";"Stolsvärme styrenhet/relä";""
"7391";"RELÄ EXTRALJUS";"Extraljus relä";""
"7392";"RELÄ SIGNALHORN";"Signalhorn relä";""
"7393";"MULTIFUNKTIONSDISPLAY";"Multifunktionsdisplay";""
"7394";"FJÄRRKONTROLL MULTIMEDIA";"Fjärrkontroll Multimedia";""
"7395";"MULTIMEDIA ÖVRIGT";"Multimedia Övrigt";""
"7396";"MIKROFON";"Mikrofon";""
"7397";"STRÖMSTÄLLARE LARM";"Larm Strömställare";""
"7398";"RATTLÅS / TÄNDLÅS ELEKTRISK";"Rattlås / Tändlås elektrisk";""
"7399";"FJÄRRKONTROLL LARM/CENTRALLÅS";"Centrallås Fjärrkontroll";""
"7400";"IR-MOTTAGARE LARM";"IR mottagare Larm";""
"7401";"KRETSKORT";"Kretskort";""
"7402";"RELÄ TORKARMOTOR";"Torkarmotor relä";""
"7403";"STYRENHET/RELÄ KYLFLÄKT";"Kylfläkt styrenhet/relä";""
"7404";"RELÄ ELRUTA";"Elruta relä";""
"7405";"GENERATOR";"Generator";""
"7406";"RELÄ LADDNING";"Laddning relä";""
"7407";"RELÄ START";"Start relä";""
"7408";"RELÄ BRÄNSLEPUMP";"Bränslepump relä";""
"7409";"RELÄ GLÖDTRÅDSVAKT";"Glödtrådsvakt relä";""
"7410";"STARTMOTOR BENSIN";"Startmotor Benzin";""
"7411";"GENERATOR/STARTMOTOR HYBRID";"Generator/Startmotor Hybrid";""
"7412";"STARTMOTOR DIESEL";"Startmotor Diesel";""
"7413";"RELÄ STARTSPÄRR";"Startspärr relä";""
"7414";"RELÄ BACKLJUS";"Backljus relä";""
"7415";"TORKARMOTOR VINDRUTA";"Wishermotor Windschutzscheibe";""
"7416";"TORKARMOTOR BAKLUCKA";"Wishermotor Kofferraumdeckel";""
"7417";"RELÄ GLÖDNING DIESEL";"Glödning Diesel relä";""
"7418";"STYRENHET/RELÄ TORKARE";"Torkare styrenhet/relä";""
"7419";"RELÄ FARTHÅLLARE";"Farthållare relä";""
"7420";"RELÄ ABS";"ABS relä ";""
"7421";"RELÄ LARM";"Larm relä";""
"7422";"RELÄ CENTRAL";"Reläcentral";""
"7423";"FÖNSTERHISSATS MANUELL";"El. Fensterheber Satz";""
"7424";"CENTRALLÅSSATS";"Centralverriegelung";""
"7425";"SPOLARPUMP VINDRUTA";"Spülungspumpe Windschutzscheibe";""
"7426";"SOLENOID";"Solenoid";""
"7427";"RELÄ FÖNSTERHISS";"Fönsterhiss relä ";""
"7428";"CENTRALLÅS VAKUUMPUMP";"Centrallås Vakuumpump";""
"7429";"CENTRALLÅSMOTOR HUVUD.";"Centralverriegelungsmotor Haubt";""
"7430";"KABELHÄRVA";"Kabelhärva";""
"7431";"CENTRALLÅSMOTOR VÄ";"Centralverriegelung Schliesmotor";"Links"
"7432";"CENTRALLÅSMOTOR HÖ";"Centralverriegelung Schliesmotor";"Recht"
"7433";"CENTRALLÅSMOT. BAKLUCKA";"Centralverriegelungsmotor Kofferraumdeckel";""
"7434";"CENTRALLÅSMOT. TANKLUCKA";"Centralverriegelungsmotor Tankluke";""
"7435";"SÄKRINGSDOSA/ELCENTRAL";"Säkringsdosa/Elcentral";""
"7436";"SIGNALHORN";"Signalhorn";""
"7437";"RELÄ ÖVRIGT";"Övrigt Relä ";""
"7438";"RELÄ BLINKERS";"Blinkers relä";""
"7439";"RELÄ LJUS";"Ljus relä";""
"7440";"TÄNDLÅS";"Lenkradschloss/Zündschloss";""
"7441";"SPAKCENTRAL";"Hebelcentrale";""
"7442";"STRÖMSTÄLLARE LJUS/GOLV";"Licht Stromschalter Boden";""
"7443";"SPAK BLINKERS/LJUSOMK.";"Hebel Blinker/Lichtschalter";""
"7444";"SPAK LJUS/SPOLOMK.";"Hebel Licht/Spülerschalter";""
"7445";"SPAK TORKAR/SPOLOMK.";"Hebel Torkar/Spolaromkoppl.";""
"7446";"STRÖMSTÄLLARE LJUS";"Licht Stromschalter";""
"7447";"STRÖMSTÄLLARE FLÄKT";"Lüfter Stromschalter";""
"7448";"STRÖMSTÄLLARE ELHISS";"El. Fensterheber Stromschalter ";""
"7449";"STRÖMSTÄLLARE SPEGEL";"Spiegel Stromschalter";""
"7450";"TÄNDSPOLE";"Zündspüle";""
"7451";"RELÄ VARNINGSBLINKERS";"Varningsblinkers relä";""
"7452";"FÄRDDATOR";"Boardcomputer";""
"7453";"STRÖMSTÄLLARE ÖVRIGT";"Übrige Stromschalter";""
"7454";"RATTLÅSKONTAKTDON";"Lenkradschloss kontaktstift";""
"7455";"BILLARM";"Alarmanlage";""
"7456";"RELÄ OVERDRIVE";"Overdrive relä";""
"7457";"SPAK KONSOL/FÄSTE";"Hebel Konsole/Befestigung";""
"7458";"SPAK/RATTREGLAGE RADIO/STEREO";"Spak / Rattreglage Radio/Stereo";""
"7459";"GIVARE LADDLUFTSTRYCK";"Laddluftstryck givare";""
"7460";"GIVARE TANK";"Tank givare";""
"7461";"GIVARE TEMPERATUR VATTEN";"Temp givare";""
"7462";"GIVARE OLJETRYCK";"Oeldruck givare";""
"7463";"INJ.LAMBDASOND";"Lambdasond";""
"7464";"GIVARE HASTIGHETSMÄTARE";"Hastighetsmätare givare";""
"7465";"TOMGÅNGSMUNSTYCKE/VENTIL";"Lehrlauf Mundstück/Ventil";""
"7466";"INJ.KALLSTARTSVENTIL";"Kallstartventil";""
"7467";"STYRENHET FARTHÅLLARE";"Farthållare Styrenhet";""
"7468";"STYRENHET VÄXELLÅDA";"Växellåda Styrenhet";""
"7469";"GLÖDTRÅDSVAKT";"Glödtrådsvakt";""
"7470";"STYRENHET INSPRUT BENSIN";"Insprutning Styrenhet";""
"7471";"STYRENHET TÄNDNING";"Tändning Styrenhet";""
"7472";"STYRENHET FÖRGASARE";"Förgasare Styrenhet";""
"7473";"STYRENHET STYRSERVO";"Styrservo Styrenhet";""
"7474";"STYRENHET AVGASRENING";"Avgasrening Styrenhet";""
"7475";"STYRENHET ABS";"ABS Styrenhet";""
"7476";"STYRENHET TAL";"Tal Styrenhet";""
"7477";"STYRENHET APC";"APC Styrenhet";""
"7478";"TÄNDMODUL";"Tändmodul";""
"7479";"STYRENHET ANTISPINN/SLADD";"ASC Styrenhet";""
"7480";"STRÖMSTÄLLARE ELRUTA";"El. Scheibenheizung Stromschalter ";""
"7481";"STRÖMSTÄLLARE VARNINGS.";"Warnlicht Stromschalter";""
"7482";"STRÖMSTÄLLARE DIMMER";"Dimmer Stromschalter";""
"7483";"RELÄ CENTRALLÅS";"Centrallås relä";""
"7484";"STYRENHET PARKERINGSHJÄLP";"Parkering Styrenhet";""
"7485";"STYRENHET CENTRALLÅS";"Centrallås Styrenhet";""
"7486";"STYRENHET KUPEVÄRME";"Kupevärme Styrenhet";""
"7487";"STYRENHET INSPRUT DIESEL";"Insp.pump Diesel Styrenhet";""
"7488";"STYRENHET INSUG MC";"Styrenhet Insug";""
"7489";"CDI BOX MC";"CDI Box";""
"7490";"BATTERI";"Batterie";""
"7491";"SENSOR TPMS / DÄCKKONTROLL";"Däcktrycksgivare";""
"7492";"TÄNDKASSETT";"Tändkassett";""
"7493";"SENSOR ÖVRIGT";"Övrigt Sensor";""
"7494";"GIVARE ÖVRIGT";"Övrigt Givare";""
"7495";"FARTHÅLLARE";"Tempomat";""
"7496";"GIVARE FARTHÅLLARE";"Farthållare givare";""
"7497";"FARTHÅLL. LÄGESKONTAKT";"Tempomat kontakt";""
"7498";"STYRENHET ÖVRIGT";"Övrigt Styrenhet ";""
"7499";"EL ÖVRIGT";"Övrigt Eldetaljer ";""
"7500";"KOMFORT STYRDON";"Komfort Styrdon";""
"7501";"GIVARE ACCELARATION";"Acceleration givare";""
"7502";"GIVARE KOPPLINGSPEDAL";"Kopplingspedal givare";""
"7503";"GIVARE RATTUTSLAG";"Rattutslag givare";""
"7504";"GIVARE YTTERTEMPARATUR";"Yttertemperatur givare";""
"7505";"SENSOR LARM";"Glaskross Sensor";""
"7506";"GIVARE LÄGES BROMSPEDAL";"Bromspedal lägesgivare";""
"7507";"GIVARE TEMP/TRYCK AVGAS";"Avgas temperaturgivare";""
"7508";"GIVARE XENON/LJUSHÖJDSREGLERING";"Ljusinställning lägesgivare";""
"7509";"STYRENHET VÄXLINGSENHET";"Växlingsenhet Styrenhet";""
"7510";"STYRENHET PARK.BROMS EPB";"Styrenhet Parkeringsbroms EPB";""
"7511";"STYRENHET NYCKELLÖST SYSTEM";"Nyckellöst System Styrenhet";""
"7512";"STYRENHET START/STOPP";"Start/Stopp Styrenhet";""
"7513";"STYRENHET ELMOTOR";"Elmotor Styrenhet";""
"7514";"STYRENHET MULTIMEDIA";"Multimedia Styrenhet";""
"7515";"STYRENHET STOLREGLERING";"Stolreglering Styrenhet";""
"7516";"STYRENHET BATTERI";"Batteri Styrenhet";""
"7517";"SENSOR DÖRR BAKLUCKA ÖPPNA/STÄNG";"Dörr Baklucka Öppna/Stäng Sensor";""
"7518";"STYRENHET BLUETOOTH";"Bluetooth Styrenhet";""
"7519";"STYRENHET CAB/SUFFLETT";"Cab/Sufflett Styrenhet";""
"7520";"STYRENHET DIAGNOSGRÄNSSNITT/GATEWAY";"Diagnosgränssnitt/Gateway Styrenhet";""
"7601";"BROMS. HUVUDCYLINDER";"Hauptcylinder";""
"7602";"BROMSVÄTSKEBEHÅLLARE";"Flüssigkeitsbehälter";""
"7603";"BROMSLJUSKONTAKT";"Bremslichtkontakt";""
"7604";"BROMSRÖR/SLANG";"Bremsrohr/Slauch";""
"7605";"BROMSSERVO";"Brems servo";""
"7606";"BROMS. VARNINGSVENTIL";"Warnungsventil";""
"7607";"BROMSSERVO BACKVENTIL";"Bromsservo Backventil";""
"7608";"BROMS.TRYCKACKUMULATOR";"Druckackumulator";""
"7609";"BROMS.HJULCYLINDER";"Radcylinder";""
"7610";"BROMSSKIVA FRAM";"Bremsscheibe";"Vorn"
"7611";"BROMSOK FRAM VÄ";"Bremsjoch";"Vorn Links"
"7612";"BROMSOK FRAM HÖ";"Bremsjoch";"Vorn Recht"
"7613";"BROMSVÄTSKEBEHÅLLARE LOCK";"Bromsvätskebehållare lock";""
"7614";"BROMSTRUMMA FRAM";"Bremstrommel";"Vorn"
"7615";"HYDRAULAGGREGAT ASC";"ASC Hydraulagregat";""
"7616";"ANTI DIVE HÖ MC";"Anti Dive Hö";""
"7617";"ANTI DIVE VÄ MC";"Anti Dive Vä";""
"7618";"BROMSSTAG FRAM MC";"Bromsstag Fram";""
"7619";"BROMSSTAG BAK MC";"Bromsstag Bak";""
"7620";"BROMSSKIVA BAK";"Bremsscheibe";"Hinten"
"7621";"BROMSOK BAK VÄ";"Bremsjoch";"Hinten Links"
"7622";"BROMSOK BAK HÖ";"Bremsjoch";"Hinten Recht"
"7624";"BROMSOKSHÅLLARE";"Bromsjochhalter";""
"7625";"BROMSTRUMMA BAK";"Bremstrommel";"Hinten"
"7626";"BROMSVAJER";"Bremswire";""
"7627";"BROMSBACK TRUMBROMS";"Bromsback trumbroms";""
"7628";"BROMSBACK HANDBROMS";"Handbromsback";""
"7629";"GASPEDAL";"Gaspedal";""
"7630";"PEDALSTÄLL";"Pedalgeställ";""
"7631";"BROMSPEDAL";"Bremspedal";""
"7632";"KOPPLINGSPEDAL";"Kupplungspedal";""
"7633";"VÄXELPEDAL MC";"Växelpedal";""
"7634";"BROMSFÖRDELNINGSVENTIL/BLOCK";"Bromsfördelningsventil/block";""
"7635";"BROMSKRAFTREGULATOR";"Bremskraftregulator";""
"7636";"BROMSOKSMOTOR / STÄLLMOTOR BAK HÖ";"Bromsoksmotor / Ställmotor Bak";"Recht"
"7637";"BROMSOKSMOTOR / STÄLLMOTOR BAK VÄ";"Bromsoksmotor / Ställmotor Bak";"Links"
"7639";"LASTAVKÄNNINGSDON";"Lastavkänningsdon";""
"7640";"ABS HYDRAULPUMP";"ABS Hydraulpumpe";""
"7645";"ABS HYDRAULAGGREGAT";"ABS Hydraulagregat";""
"7646";"ABS SENSOR";"ABS Sensor";""
"7647";"ABS KRANS";"ABS Krans";""
"7650";"ANTISPINN MOTOR";"Antispinn Motor";""
"7699";"BROMS ÖVRIGT";"Übrige Bremsteile";""
"7700";"VÄXELLÅDA TRONIC";"Växellåda Tiptronic";""
"7701";"VÄXELLÅDA MAN. 4 VXL";"Växellåda 4 Speed";""
"7702";"VÄXELLÅDA MAN. 5 VXL";"Växellåda 5 Speed";""
"7703";"VÄXELLÅDA MAN. MED EL.ÖVERVÄXEL";"Växellåda med overdrive";""
"7704";"VÄXEL FÖRDELNINGSLÅDA";"Växel Fördelningslåda";""
"7705";"VÄXELLÅDA AUTOMAT";"Automatikgetriebe";""
"7706";"VÄXELLÅDA MAN. 6 VXL";"Växellåda 6 Speed";""
"7707";"CONVERTER";"Converter";""
"7708";"VÄXELLÅDA AUT KOPPLINGSKÅPA";"Sprängkåpa (automat växellåda)";""
"7709";"MELLANAXEL STÖDLAGER";"Zwischenachse Stutzlager";""
"7710";"MELLANAXEL KOMP.";"Zwischenachse Kompl.";""
"7711";"MELLANAXEL FRÄMRE";"Zwischenachse";"Vorn"
"7712";"MELLANAXEL MITT";"Zwischenachse";"Mitte"
"7713";"MELLANAXEL BAKRE";"Zwischenachse";"Hinten"
"7714";"MELLANAXEL GUMMIKNUT";"Zwischenachse Gummikopf";""
"7715";"VÄXELSPAK";"Schalthebel";""
"7716";"VÄXELSPAKSDAMASK";"Växelspaksdamask";""
"7717";"VÄXELREGLAGE / VAJER";"Växelreglage";""
"7718";"VÄXELLÅDSLOCK";"Växellådslock";""
"7719";"KICKDOWN VAJER MC";"Kickdown Wire";""
"7720";"VÄXEL PRIMÄR";"Växel Primär";""
"7721";"VÄXEL SEKUNDÄR";"Växel Sekundär";""
"7722";"MELLANAXEL VINSCH/KRAFTUTTAG";"Zwischenachse Winsch/Kraftstecker";""
"7723";"VÄXEL RÖR/SLANGAR AUTOMAT";"Växel Rör/Slangar Automat";""
"7724";"LAMELLAXEL";"Achse der Lamelle";""
"7725";"VÄXELLÅDA MAN KOPPLINGSKÅPA";"Kupplungshaus (Sprengkappe)";""
"7726";"KOPPLINGSVAJER";"Kupplungszug";""
"7727";"KOPPLINGSCYLINDER HUVUD.";"Kupplung Haubtcylinder";""
"7728";"KOPPLINGSCYLINDER SLAV.";"Kupplung Sklavencylinder";""
"7729";"KOPPLING/LAMELL";"Kupplung/Lamelle";""
"7730";"VÄXELLÅDSBALK";"Växellådsbalk";""
"7731";"VÄXELLÅDSFÄSTE";"Växellådsfäste";""
"7732";"VÄXELFÖRARE";"Växelförare";""
"7733";"KOPPLINGSARM";"Kupplung Betätigungsarm";""
"7734";"VÄXELLÅDSHUS/KEDJEHUS DELAR";"Växellådshus/Delar";""
"7735";"HASTIGHETSMÄTARVAJER";"Hastighetsmätarwire";""
"7736";"GASVAJER";"Gaswire";""
"7737";"PEDAL GAS/BROMS/KOPPLING";"Pedalen Gas/Brems/Kupplung";""
"7738";"CHOKEVAJER";"Chokewire";""
"7739";"CHOKERREGLAGE MC";"Chokereglage";""
"7740";"DRIVREM";"Drivrem";""
"7741";"HANDBROMSSPAK";"Handbremshebel";""
"7742";"HANDBROMSVAJER";"Handbremswire";""
"7743";"HANDBROMSBELÄGG";"Handbromsbelägg";""
"7744";"GASREGLAGE";"Gasregulierung";""
"7745";"KOPPLING VÄTSKEBEHÅLLARE";"Kupplung Flüssigkeitsbehälter";""
"7746";"PARKERINGSBROMS ELMANÖVRERAD";"Parkeringsbroms elmanövrerad";""
"7747";"VÄXELSPAKS FÄSTE/HUS";"Växelspakshus / fäste";""
"7748";"FRIKOPPLINGSENHET";"Frikopplingsenhet";""
"7749";"INREDNING SARG VÄXELSPAK";"Växelspakssarg";""
"7750";"OMBYGGNADSSATS MAN-AUT";"Umbausatz Hand-Aut";""
"7751";"OMBYGGNADSSATS AUT-MAN";"Umbausatz Aut-Hand";""
"7752";"VÄXELLÅDA VÄXLINGSENHET";"Växlingsenhet Växellåda";""
"7753";"VÄXLINGSENHET HYDRAULDEL";"Växlingsenhet Hydrauldel";""
"7754";"HYDRAULPUMP VÄXLINGSENHET";"Hydraulpump Växlingsenhet";""
"7755";"VÄXELREGLAGE EL HÖG/LÅG";"Växelreglage elektrisk hög/låg";""
"7756";"KOPPLINGSSATS KOMPL";"Kopplingssats Kompl";""
"7760";"VISKOKOPPLING";"Viskoskupplung";""
"7799";"TRANSMISSION ÖVRIGT";"Övrigt Transmission ";""
"7800";"SKYLTHÅLLARE";"Skylthållare";""
